receipt,date,type,amount,balance
MP767586,2026-04-22 23:35:00,Customer Payment,1933,2423
MP515663,2026-04-01 19:27:00,Customer Payment,1454,19532
MP938380,2026-04-09 11:08:00,Customer Payment,1449,8288
MP470867,2026-04-27 05:05:00,Withdrawal,-4261,9477
MP156514,2026-04-03 12:07:00,Withdrawal,-2108,3367
MP519766,2026-04-07 08:27:00,Withdrawal,-2485,8526
MP298083,2026-04-18 13:06:00,Paybill,1893,14135
MP633727,2026-04-28 00:24:00,Buy Goods,2738,13536
MP625618,2026-04-05 07:40:00,Customer Payment,1593,14020
MP221119,2026-04-12 00:33:00,Customer Payment,1730,4861
MP619675,2026-04-02 14:54:00,Customer Payment,1450,19099
MP360872,2026-04-30 12:07:00,Customer Payment,246,5294
MP641061,2026-04-07 12:44:00,Customer Payment,1702,1788
MP589087,2026-04-09 06:35:00,Customer Payment,2014,9865
MP240817,2026-04-02 22:34:00,Paybill,1512,13804
MP617340,2026-04-08 02:17:00,Paybill,645,4022
MP181120,2026-04-02 15:50:00,Customer Payment,1008,4976
MP146408,2026-04-03 11:53:00,Withdrawal,-2438,18488
MP490504,2026-04-18 10:36:00,Customer Payment,1057,17299
MP569308,2026-04-13 12:20:00,Customer Payment,1734,16033
MP998896,2026-04-11 01:20:00,Customer Payment,782,4449
MP990337,2026-04-16 00:31:00,Withdrawal,-2653,5228
MP912547,2026-04-12 00:51:00,Buy Goods,786,13339
MP281986,2026-04-09 12:53:00,Paybill,199,6661
MP918992,2026-04-24 18:38:00,Customer Payment,1509,13895
MP594747,2026-04-06 06:38:00,Customer Payment,1042,6576
MP238695,2026-04-21 03:05:00,Withdrawal,-4793,16433
MP196797,2026-04-23 21:34:00,Buy Goods,776,6204
MP913477,2026-04-26 05:44:00,Customer Payment,952,12391
MP461318,2026-04-05 20:40:00,Customer Payment,2578,8825
MP185728,2026-04-21 14:41:00,Withdrawal,-3424,19520
MP819394,2026-04-28 11:22:00,Customer Payment,2735,11327
MP946341,2026-04-08 01:08:00,Withdrawal,-2494,12467
MP965722,2026-04-04 03:08:00,Customer Payment,2693,18002
MP157045,2026-04-15 13:00:00,Paybill,1583,18207
MP588250,2026-04-26 00:17:00,Customer Payment,2310,12006
MP279160,2026-04-16 16:28:00,Customer Payment,446,17849
MP228109,2026-04-08 13:03:00,Customer Payment,2764,4836
MP647730,2026-04-05 18:29:00,Buy Goods,1053,14816
MP453280,2026-04-26 21:51:00,Customer Payment,1527,5586
MP871093,2026-04-26 11:25:00,Customer Payment,669,7463
MP442853,2026-04-29 20:40:00,Paybill,484,7497
MP807077,2026-04-12 18:36:00,Customer Payment,97,15237
MP538224,2026-04-03 19:47:00,Customer Payment,1931,12399
MP323367,2026-04-14 16:04:00,Paybill,285,6636
MP117352,2026-04-11 05:33:00,Customer Payment,1931,12511
MP214024,2026-04-24 12:01:00,Customer Payment,2378,5449
MP865602,2026-04-15 03:18:00,Withdrawal,-3706,7929
